country,year,SHADOW,SHADOW_MIMIC,TAX,ACCOUNT,DIGPAY,ATM_per100k,LGDPPC,GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,BROADBAND,REG_QUALITY,RULE_OF_LAW,INST
Croatia,2012,28.9821,31.5981,20.1296,87.60236666666667,71.96546951707847,112.6911,9.374208141879594,11780.5853,79.0092,16.046,3.4121,3.6226,55.3043,116.7193,21.5819,0.2064,0.2677,0.23704999999999998
Croatia,2013,28.7258,31.7134,20.5988,86.81373333333333,73.90948537495458,114.3089,9.37910844384678,11838.4554,80.9196,17.231,2.2166,4.6264,55.3659,111.2818,22.5043,0.2264,0.2616,0.244
Croatia,2014,28.7723,31.7248,20.3827,86.0251,76.0833,117.8034,9.381161181308713,11862.7816,85.2166,17.209,0.0,4.6528,55.4592,105.7323,23.3319,0.1191,0.3591,0.23909999999999998
Croatia,2015,28.8176,31.551,21.4161,86.06456666666666,78.4332,124.6391,9.41604270567045,12283.875,90.6518,16.15,0.0,5.2496,55.5813,105.5436,23.5726,0.1463,0.3335,0.2399
Croatia,2016,28.8,30.9101,21.9038,86.10403333333333,80.78309999999999,129.7263,9.460980305058559,12848.4737,92.1393,13.015,0.0,6.1216,55.7294,106.7184,25.2341,0.1803,0.3048,0.24255
Croatia,2017,28.9008,30.3628,22.0182,86.1435,83.133,143.1119,9.50936075466125,13485.3711,97.2452,11.078,1.1294,6.5269,55.901,105.7948,26.8651,0.2956,0.3433,0.31945
Croatia,2018,28.871,29.8695,21.7868,87.558675,84.12089999999999,151.0676,9.55116453236802,14061.0597,99.0846,8.322,1.5001,6.5058,56.0932,109.034,28.0156,0.3956,0.2554,0.3255
Croatia,2019,28.8216,29.5044,21.9731,88.97385,85.1088,161.3464,9.591640757468875,14641.8736,101.3951,6.551,0.7718,6.966,56.3032,110.4938,28.9683,0.3848,0.31,0.3474
Croatia,2020,28.4241,30.6446,20.8752,90.389025,86.0967,146.2132,9.513827400497469,13545.7402,89.5475,7.389,0.1548,7.2375,56.5285,110.6663,26.0745,0.2018,0.3487,0.27525
Georgia,2011,61.6233,65.8826,22.6614,32.981,11.130671372237003,51.3089,8.120321950025149,3362.103,85.4659,19.632,8.5429,9.9984,55.6899,114.5169,6.4234,0.7158,-0.0187,0.34854999999999997
Georgia,2012,61.4383,65.3599,23.0885,35.20903333333334,16.82842898805101,63.7664,8.191402329261773,3609.7808,89.7349,19.653,0.0,10.4775,56.1684,122.3841,12.0611,0.6933,0.1864,0.43985
Georgia,2013,61.0834,65.0563,22.0626,37.43706666666667,22.338928306046014,68.3718,8.244466986996175,3806.506,93.8139,19.416,0.0,11.1047,56.6182,131.0831,13.5709,0.7283,0.1218,0.42505
Georgia,2014,61.0478,64.4987,22.0531,39.6651,23.581,71.3003,8.284087886183617,3960.3508,94.9507,17.439,3.0688,11.0568,57.0238,142.3909,15.8407,0.8195,0.3528,0.58615
Georgia,2015,60.8766,63.9471,22.3477,46.85353333333334,33.371966666666665,70.5255,8.315474064319442,4086.6223,97.0163,16.506,4.0036,9.582,57.3804,146.3965,16.7647,0.8099,0.3406,0.57525
Georgia,2016,60.1282,63.8882,23.0424,54.04196666666667,43.16293333333333,74.9693,8.348796196361503,4225.0915,94.9263,16.604,2.1349,9.8467,57.6984,145.8806,17.9596,0.9448,0.3712,0.6579999999999999
Georgia,2017,59.8357,62.5503,23.0135,61.2304,52.9539,76.6984,8.398974225756175,4442.5074,102.5843,13.939,6.0353,10.8901,57.9997,145.0725,20.4644,0.9416,0.2232,0.5824
Georgia,2018,59.4199,61.6932,22.0479,63.547475000000006,55.2568,78.3546,8.458218576339677,4713.6535,109.8477,12.667,2.6152,11.3631,58.3038,143.8581,22.5911,0.8012,0.2664,0.5338
