country,year,SHADOW (author: WB Informal Economy DB - DGE),SHADOW_MIMIC (author: MIMIC series),TAX,ACCOUNT,DIGPAY,"ATM_per100k (WB, real)",POS_ATM (author: add POS from IMF FAS),CASHLESS_VAL (author: IMF FAS),"CASH (author: currency/M2, IFS/central bank)",GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,REG_QUALITY,RULE_OF_LAW,INST,MOBILE_COVERAGE (author: ITU),BROADBAND
Azerbaijan,2017,,,13.1335,28.5712,24.5768,32.8245,,,,5229.2526,90.4023,5,12.9359,2.7733,56.4332,101.5899,-0.1854,-0.7128,-0.4491,,18.1092
Azerbaijan,2018,,,12.9436,,,33.8221,,,,5261.9294,91.6726,4.9,2.2685,2.6018,57.1842,102.9873,-0.2005,-0.6534,-0.4269,,18.8342
Azerbaijan,2019,,,14.19,,,35.3867,,,,5346.9532,85.8181,5,2.6106,2.647,58.1308,106.3283,-0.1045,-0.6726,-0.3886,,19.2178
Azerbaijan,2020,,,15.1856,,,35.9399,,,,5087.5002,72.0179,7.24,2.7598,3.2865,58.2935,101.5967,-0.1056,-0.6182,-0.3619,,19.5986
Azerbaijan,2021,,,13.4213,,,38.1193,,,,5349.5823,76.2869,6.04,6.6503,2.7845,58.366,105.6936,-0.0595,-0.6086,-0.3341,,20.0857
Azerbaijan,2022,,,15.4477,46.2587,42.5469,39.1842,,,,5599.5852,86.9823,5.65,13.8523,5.0123,58.4383,107.5063,-0.0606,-0.5485,-0.3045,,20.3656
Belarus,2004,,,18.3713,,,10.856,,,,3520.4045,142.1365,9.463,18.1082,1.0345,71.7659,23.0022,-1.2156,-0.754,-0.9848,,0.0077
Belarus,2005,,,20.1497,,,15.3865,,,,3877.7174,118.8844,8.759,10.3389,0.6574,72.031,42.4035,-1.2548,-0.9279,-1.0913,,0.0162
Belarus,2006,,,22.2231,,,18.9254,,,,4291.6865,124.2951,8.066,6.9971,0.7256,72.6114,62.0314,-1.6115,-1.1616,-1.3865,,0.1188
Belarus,2007,,,23.7267,,,25.6357,,,,4682.2068,128.1539,7.41,8.4268,0.6368,73.0913,72.7795,-1.5356,-1.082,-1.3088,,1.7756
Belarus,2008,,,25.3534,,,30.2044,,,,5177.6453,129.5995,6.728,14.8379,0.9601,73.5532,85.2943,-1.219,-0.9916,-1.1053,,5.0159
Belarus,2009,,,18.6295,,,33.345,,,,5200.7742,108.6356,6.1,12.9457,0.9903,74.191,101.8813,-1.1954,-0.9577,-1.0766,,11.4889
Belarus,2010,,,16.3214,,,37.9288,,,,5616.0941,115.918,6.052,7.7357,1.0052,74.5501,108.8734,-1.171,-0.957,-1.064,,17.5606
Belarus,2011,,,14.5091,58.602,,41.2464,,,,5941.69,157.9743,6.024,53.2287,1.442,75.0598,112.9019,-1.3323,-0.9979,-1.1651,,22.1485
Belarus,2012,,,14.663,,,46.2373,,,,6052.6374,153.0853,5.962,59.2197,1.6032,75.5281,112.8224,-1.0299,-0.7381,-0.884,,26.755
Belarus,2013,,,13.355,,,51.2795,,,,6115.4329,119.816,5.942,18.3123,1.6067,75.9497,117.4335,-1.0356,-0.8223,-0.929,,29.4348
Belarus,2014,,,12.6977,71.985,66.3942,54.8774,,,,6212.9167,110.6514,5.908,18.1196,1.5623,76.3405,120.3661,-0.8947,-0.7472,-0.821,,28.3377
Belarus,2015,,,14.1731,,,55.6528,,,,5967.056,115.9148,5.881,13.5345,1.65,76.6264,120.6696,-1.0026,-0.7317,-0.8671,,30.6041
Belarus,2016,,,13.7882,,,55.449,,,,5811.2016,125.2093,5.844,11.8366,2.0464,76.8459,120.4315,-0.9143,-0.7124,-0.8134,,32.293
Belarus,2017,,,13.019,81.1559,78.6525,55.9022,,,,5964.8967,133.3678,5.648,6.0318,2.2911,77.0208,120.2127,-0.8817,-0.7599,-0.8208,,33.3125
Belarus,2018,,,14.6726,,,54.1512,,,,6165.9132,139.3937,4.763,4.8723,2.4084,77.2133,122.5698,-0.7883,-0.7331,-0.7607,,33.7712
