country,year,SHADOW,SELFEMP,DFS_INDEX,ACCOUNT,DIGPAY,ATM_per100k,TAX,LGDPPC,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,BROADBAND,INST
Kazakhstan,2016,36.605,26.927,74.35,57.101,51.494,72.452,9.924,9.225,60.312,4.96,14.361,0.28,56.748,139.051,12.796,-0.323
Kazakhstan,2017,36.047,26.891,76.32,58.698,53.874,72.753,10.303,9.25,56.825,4.9,7.443,0.336,57.459,143.113,13.811,-0.189
Kazakhstan,2018,36.135,26.848,85.14,64.3,59.887,81.74,11.718,9.275,63.528,4.85,6.164,0.345,58.239,137.675,13.0,-0.158
Kazakhstan,2019,35.779,26.785,91.06,69.903,65.9,82.978,11.787,9.305,64.859,4.8,5.334,0.279,59.083,133.88,13.08,-0.159
Kazakhstan,2020,35.473,26.521,100.0,75.506,71.913,92.29,8.319,9.265,57.026,4.89,6.718,0.219,59.987,124.698,13.45,-0.181
Kyrgyz Republic,2011,37.155,37.197,2.4,3.757,0.0,11.918,15.925,6.913,136.18,3.644,16.636,27.57,35.247,112.201,0.698,-0.705
Kyrgyz Republic,2012,36.771,36.952,7.21,8.662,2.342,15.587,16.342,6.894,139.676,3.786,2.768,30.754,35.219,119.333,0.959,-0.717
Kyrgyz Republic,2013,36.71,42.147,14.44,13.566,8.911,20.56,16.161,6.975,134.027,3.881,6.614,31.056,35.185,116.218,2.349,-0.692
Kyrgyz Republic,2014,36.367,42.351,21.18,18.471,15.093,24.66,17.549,6.993,125.126,4.02,7.534,30.032,35.146,128.23,2.894,-0.68
Kyrgyz Republic,2015,35.853,40.026,29.83,25.628,22.082,30.006,16.802,7.008,110.962,4.138,6.503,25.272,35.101,126.284,3.524,-0.699
Kyrgyz Republic,2016,35.417,38.344,36.85,32.785,29.072,30.982,16.949,7.028,105.824,4.294,0.389,29.276,35.052,124.639,3.943,-0.596
Kyrgyz Republic,2017,34.54,35.244,44.27,39.942,36.061,33.036,17.046,7.054,100.617,4.425,3.175,32.27,34.998,136.138,4.148,-0.504
Kyrgyz Republic,2018,34.212,35.046,46.49,41.23,36.903,36.301,17.999,7.069,98.876,4.559,1.543,32.506,34.941,137.742,3.952,-0.521
Kyrgyz Republic,2019,33.752,33.042,48.34,42.518,37.744,38.548,15.964,7.092,94.43,5.45,1.134,28.786,34.88,132.777,4.144,-0.58
Kyrgyz Republic,2020,33.185,33.975,50.3,43.807,38.586,41.105,14.036,6.997,78.992,5.945,6.325,31.807,34.817,109.78,4.337,-0.607
Moldova,2011,43.13,55.545,22.73,18.066,9.676,35.996,15.24,7.784,98.618,2.677,7.687,21.548,39.347,90.442,10.017,-0.238
Moldova,2012,43.063,57.021,24.72,17.963,11.596,39.077,15.595,7.779,96.306,2.189,4.546,22.809,39.361,102.919,12.017,-0.324
Moldova,2013,43.568,57.822,26.81,17.859,13.416,42.567,15.47,7.866,95.687,1.894,4.598,23.077,39.428,108.452,13.77,-0.327
Moldova,2014,43.246,59.565,28.89,17.756,15.232,46.033,16.829,7.915,94.228,1.45,5.089,22.079,39.63,111.829,15.233,-0.251
Moldova,2015,43.969,60.858,35.39,26.432,23.614,41.959,16.291,7.919,88.966,1.781,9.676,19.751,39.695,112.959,16.257,-0.309
Moldova,2016,44.064,61.906,44.89,35.109,31.996,45.907,16.43,7.976,89.005,1.591,6.359,18.384,39.737,117.008,17.216,-0.328
Moldova,2017,43.546,60.355,54.19,43.786,40.377,49.334,17.727,8.034,88.623,1.622,6.57,17.215,39.974,117.321,18.298,-0.278
Moldova,2018,43.861,59.815,59.96,48.901,45.222,52.216,18.014,8.092,87.447,1.239,3.045,16.334,40.326,115.32,19.758,-0.295
Moldova,2019,43.629,59.493,65.01,54.016,50.067,53.199,17.656,8.143,87.632,1.502,4.838,16.273,40.772,116.105,21.543,-0.244
Moldova,2020,42.783,59.332,69.67,59.131,54.912,53.123,17.91,8.067,79.266,1.206,3.766,16.275,41.337,111.445,23.427,-0.265
Tajikistan,2011,41.475,34.592,0.0,2.535,0.0,7.071,10.037,6.696,79.784,7.04,12.432,41.738,26.479,80.82,0.064,-1.111
Tajikistan,2012,42.056,34.358,2.91,5.51,1.751,8.872,10.068,6.745,83.176,7.022,5.831,42.216,26.41,81.457,0.067,-1.09
Tajikistan,2013,42.43,34.18,7.2,8.484,6.224,11.019,10.099,6.791,71.744,7.019,5.01,43.768,26.488,91.729,0.071,-1.113
Tajikistan,2014,42.282,33.901,10.82,11.459,8.747,13.77,10.13,6.831,54.607,7.024,6.104,37.136,26.563,94.939,0.072,-1.041
Tajikistan,2015,43.011,33.743,22.18,23.314,20.476,14.515,10.161,6.864,49.938,7.033,5.715,27.307,26.479,98.209,0.069,-1.006
Tajikistan,2016,43.274,33.493,33.4,35.169,32.205,14.837,10.192,6.905,55.725,7.036,6.005,26.706,26.372,106.027,0.068,-1.028
Tajikistan,2017,43.003,33.289,43.58,47.024,43.934,12.413,10.222,6.949,53.786,7.035,0.157,29.685,26.273,109.004,0.066,-0.977
Tajikistan,2018,42.998,33.035,41.28,45.14,41.234,12.011,10.253,6.998,55.846,7.028,0.851,28.118,26.234,107.442,0.064,-0.935
Tajikistan,2019,43.215,32.755,40.34,43.256,38.533,15.23,10.284,7.046,56.045,7.026,0.0,27.972,26.13,115.373,0.063,-1.024
Tajikistan,2020,43.002,32.629,40.67,41.372,35.833,21.86,10.315,7.066,55.749,7.576,5.869,26.885,26.192,62.283,0.37,-1.024
